iter	MultiClass
0	1.098582449
1	1.098536517
2	1.098500301
3	1.098469396
4	1.098416754
5	1.09837147
6	1.098313857
7	1.098251447
8	1.098226812
9	1.098180031
10	1.098162619
11	1.098124737
12	1.098082255
13	1.09804336
14	1.098024178
15	1.097970265
16	1.097921839
17	1.097900068
18	1.097853132
19	1.09780832
20	1.097774574
21	1.097771211
22	1.097729325
23	1.097692325
24	1.097651809
25	1.097591007
26	1.097556301
27	1.097519756
28	1.097476106
29	1.097459764
30	1.097429419
31	1.097401642
32	1.097400908
33	1.097337457
34	1.09731576
35	1.097283228
36	1.097238008
37	1.097178777
38	1.097130058
39	1.097094982
40	1.097061763
41	1.097036553
42	1.097000658
43	1.096956506
44	1.096935974
45	1.096889845
46	1.09685991
47	1.096819991
48	1.09679506
49	1.096753539
50	1.096720449
51	1.096675909
52	1.096618797
53	1.09657816
54	1.096520656
55	1.096500257
56	1.096463964
57	1.096433345
58	1.096417547
59	1.096379092
60	1.096321233
61	1.096302652
62	1.09625167
63	1.09622361
64	1.096174723
65	1.096134188
66	1.09611283
67	1.096073569
68	1.09602955
69	1.095984491
70	1.095959895
71	1.095940544
72	1.09587594
73	1.095848406
74	1.095825531
75	1.095790169
76	1.095759781
77	1.095716388
78	1.095685638
79	1.095644248
80	1.095603729
81	1.095569358
82	1.095519678
83	1.095493316
84	1.095468974
85	1.095438483
86	1.095404782
87	1.095396194
88	1.095354247
89	1.095320631
90	1.095287859
91	1.095252577
92	1.095217069
93	1.095184484
94	1.095139654
95	1.095110877
96	1.095072349
97	1.095044675
98	1.095021436
99	1.094986717
100	1.094929948
101	1.094899386
102	1.094880679
103	1.094835928
104	1.094806877
105	1.094767889
106	1.094729367
107	1.094696438
108	1.094658532
109	1.094636327
110	1.094620633
111	1.09459736
112	1.094569113
113	1.094549186
114	1.09448225
115	1.094433676
116	1.094404857
117	1.094374262
118	1.094354822
119	1.094319147
120	1.094300696
121	1.094262105
122	1.094237903
123	1.094213261
124	1.094176828
125	1.094139872
126	1.09411555
127	1.094080167
128	1.094057798
129	1.094028368
130	1.093983589
131	1.093928077
132	1.093899367
133	1.093879365
134	1.093842589
135	1.093822146
136	1.093805668
137	1.093783399
138	1.09373117
139	1.093721865
140	1.093687373
141	1.093662906
142	1.093639624
143	1.093602101
144	1.093569677
145	1.093545882
146	1.093495433
147	1.093477348
148	1.093457301
149	1.093426605
150	1.093392657
151	1.093368049
152	1.093326111
153	1.093289692
154	1.093249547
155	1.093223919
156	1.0931901
157	1.093142162
158	1.093115977
159	1.093088633
160	1.093041729
161	1.093011167
162	1.092979862
